generation,best_score,fitness_mean,fitness_std
0,57.601837298482245,-0.03000752721399487,13.089738647454334
1,57.73214184093667,17.62958882062945,23.640935332180693
2,57.73214184093667,29.775919025531174,22.261546724253506
3,57.73214184093667,32.48127223215992,26.237254396740504
4,57.752975927839515,37.39031261688223,22.270957454029286
5,75.05457939139342,41.339409445353134,21.33331479989959
6,75.05457939139342,34.43572479166612,25.349529973977027
7,75.05457939139342,35.81478671926755,28.262063612905266
8,75.05457939139342,42.4064268728497,23.066438239340368
9,75.05457939139342,41.6478312395872,28.18267865250806
10,75.05457939139342,44.26092490621326,21.751139263706666
11,75.05457939139342,39.9440627276853,29.615752916125636
12,75.05457939139342,48.48737845349211,23.16425317887379
13,75.05457939139342,41.342858750288514,29.102820598135224
14,75.05457939139342,43.30794143026162,25.529696277378275
