generation,best_score,fitness_mean,fitness_std
0,92.34041448585583,9.832626640543893,29.94403238940535
1,92.34041448585583,40.77708454158428,35.653731298267864
2,92.34772657195336,65.73523996377128,26.314427299925093
3,92.48657125383502,71.23954967136298,24.547086679984947
4,92.48657125383502,73.00546376123229,23.540097737478277
5,92.48657125383502,75.13435002527457,20.498092839883565
6,92.48657125383502,72.99093230619397,23.030711297345047
7,92.48657125383502,72.93623227154524,25.03885443288257
8,92.49405452609942,73.18140003176327,24.72052157438063
9,92.49405452609942,71.86808200663765,25.763978592853217
10,92.49405452609942,70.06537481716782,26.250815082086714
11,92.49405452609942,74.28233762628197,22.552553995059576
12,92.54041448585585,70.05514284152805,23.925546122014534
13,92.54041448585585,67.73234533363865,24.359890366591312
14,92.64317193830047,71.07562073288604,20.92560045707443
15,92.64317193830047,71.9390966628951,23.20939348596198
16,92.64317193830047,70.16679559648455,23.579908994636718
17,92.64317193830047,73.58608731774945,21.642386250818948
18,92.64317193830047,73.19164409200911,22.853415049486852
19,92.64317193830047,68.12854423302375,25.643982407506584
