generation,best_score,fitness_mean,fitness_std
0,89.48518926293742,9.40608958420634,26.081891396821355
1,90.28027017401381,27.826374240539838,36.19774463982529
2,92.91282822853991,47.888423017966254,39.50468751517233
3,92.91282822853991,66.45406464505511,33.49840276953702
4,93.50168263345198,67.55833781636757,34.328180766015464
5,93.50168263345198,78.14393505965246,24.003383426501255
6,93.50168263345198,71.31743698952239,28.991012109290626
7,93.50168263345198,76.72527766599312,23.55437653504143
8,93.75639337829168,80.1005903427153,18.334831710831402
9,93.75639337829168,79.75156774219751,18.929010464344852
10,93.75639337829168,78.41762802553146,24.662860867360518
11,93.98956741322127,76.2036959227435,22.801825688074633
12,93.98956741322127,71.68945585356683,27.283958540433293
13,93.98956741322127,78.36336602714022,24.022069254332376
14,94.2227877262359,77.60376438702697,25.50369739565741
15,94.2227877262359,82.09698296506923,18.740336744019793
16,94.23766574803518,82.35459224636843,21.07485726689928
17,94.23766574803518,87.19056522592453,13.512185892155243
18,94.23766574803518,82.14322340136832,21.302525844490493
19,94.23766574803518,81.75062212960177,19.660398084149755
