generation,best_score,fitness_mean,fitness_std
0,57.16226955283406,0.7139793537748054,12.80107382892166
1,57.19486503108351,9.641183320496486,19.068900332536224
2,57.19486503108351,17.216623141639094,18.61850994911458
3,57.19486503108351,21.798599075445832,22.627159196377075
4,57.73214184093667,31.90254908656987,19.24560682559459
5,66.16226955283406,31.57069596534008,21.052736978636784
6,66.17991706964764,34.66121992687526,23.228951056655653
7,75.60183729848225,40.631599405532604,24.247874407746757
8,75.60183729848225,38.035416672038764,25.120206686491358
9,75.60183729848225,40.18947973432908,26.998735900792543
10,75.60183729848225,45.39487362660671,22.808394634967012
11,75.60183729848225,41.75129466516143,28.059058658242808
12,75.60183729848225,45.1987980176303,22.092995727098096
13,75.60183729848225,42.56919317766707,29.135218587146134
14,75.60183729848225,51.65338618663533,19.910535683353444
