generation,best_score,fitness_mean,fitness_std
0,71.23010640397328,1.6464909828963774,16.8426977502095
1,71.23010640397328,19.052148244601018,22.31370721594418
2,71.23010640397328,26.97597698091523,19.407574047540063
3,78.17038628358277,26.751566769356966,28.133433911678484
4,86.65680619144284,28.746067536282297,25.664230978777372
5,87.50808573262503,46.51729182165663,27.85108436851472
6,87.50808573262503,37.54602725091182,27.572625165151592
7,87.50808573262503,35.958042787673165,24.014843387413954
8,87.50808573262503,47.04051492719512,22.15081277511007
9,87.50808573262503,31.650018667050578,20.042039244943915
10,87.50808573262503,38.35953516946988,24.903437144577968
11,87.50808573262503,49.04749825932825,25.639685191269823
