generation,best_score,fitness_mean,fitness_std
0,16.80446983407669,-4.657516966927365,4.10788997946819
1,24.2734617915675,-2.3102662697599587,7.559451762682242
2,56.43089980475154,1.5460342303506818,13.591912037604784
3,34.40468598021165,3.2812735038753007,12.227493369793642
4,56.07893793443936,3.563191548791757,14.888113923691662
5,47.096424976079845,6.393819306702163,15.055503036025462
6,56.08284106754808,5.030022639652604,15.99410177781905
7,58.22829144186928,13.400297795536103,17.65956776750101
8,44.96930556318755,10.435362903477913,16.871670281575184
9,70.56082496566582,13.908649877084779,17.713988587550215
10,63.39850351745941,16.89411653246979,20.80966280740929
11,59.22278019829868,12.531744371089578,18.515104836336175
12,63.39850351745941,11.369239627461512,18.2534237521263
13,63.38968071954061,10.269433559552661,15.639630348806843
14,57.87086197547142,19.60561453714566,20.531529747966733
15,66.01091726693241,15.204168923873288,20.42561818844945
16,66.01091726693241,16.619171988013477,19.644460100683062
17,67.47100566874656,15.471394110908406,21.521547647277085
18,55.81095078945181,10.281199070374305,17.784936409228447
19,66.01091726693241,12.76377897506973,17.995603687562024
