generation,best_score,fitness_mean,fitness_std
0,92.99185751001957,11.895054171932907,30.887700598230907
1,92.99185751001957,23.591565265664094,36.05121074937602
2,92.99185751001957,40.973378454181905,41.79439480333722
3,92.99185751001957,70.5833449534686,32.38240858257102
4,93.68278772623589,81.54672462714215,22.356293136093097
5,93.68278772623589,85.14249426942867,15.916261973342614
6,93.82670840550223,79.37341096739335,24.54874468688937
7,93.82670840550223,83.69134685038499,21.012254823922554
8,93.86385026742617,84.13607809538405,20.847897783142315
9,93.86385026742617,83.21119374564056,21.718274428768126
10,93.86385026742617,65.18871971300311,41.00460791426976
11,93.86385026742617,82.35963075285812,20.944419934344488
12,93.86385026742617,69.57098671057459,38.70470060578644
13,93.86385026742617,84.53942049029257,19.48041648213144
14,93.86385026742617,67.94951932408814,40.28698880778997
