generation,best_score,fitness_mean,fitness_std
0,21.752975927839515,-2.3663561102120965,6.481392617432106
1,57.16226955283406,4.83630032350585,12.565775230581284
2,66.04935744741228,11.326430814930719,15.423907464412457
3,75.09191706183107,20.478146291380195,17.74635016869977
4,75.09191706183107,18.06138099615336,19.333695864531713
5,75.09191706183107,15.149314647431954,22.17950324959497
6,75.09191706183107,18.14630835766331,22.193598809306103
7,75.09191706183107,25.280643713899572,22.5105735755991
8,75.22544845445559,36.41280504723023,21.951748169064686
9,75.22544845445559,35.035081596405085,24.313557365021325
