generation,best_score,fitness_mean,fitness_std
0,57.20090734553948,0.46197424495202405,13.302750287386191
1,86.29288973525112,36.18737256536158,25.832566090144063
2,86.29288973525112,48.75154151592911,23.565817514096594
3,88.49736666659864,50.00852858635801,24.0026382320362
4,88.49736666659864,55.092298154212074,20.955105639956333
5,88.49736666659864,53.5748239626562,24.296680195101498
6,88.49736666659864,46.16362555873147,24.96500701542954
7,88.49736666659864,37.757151903852794,34.502687756356025
8,88.49736666659864,50.0292760903225,25.44247954163263
9,88.49736666659864,48.162430576035064,23.966734754809114
10,88.49736666659864,50.08077119417682,22.606499698107072
11,88.49736666659864,40.09023762280659,33.6575532296302
12,88.49736666659864,55.39961651679531,19.668213951134717
13,88.49736666659864,57.084168957185376,17.855958195621167
14,88.49736666659864,52.01697525558304,20.25404121074302
15,88.49736666659864,40.76792264519485,32.29063635526372
16,89.01173587691741,53.201000578475266,22.01565195019009
17,89.01173587691741,48.43488656460356,23.933861688952106
18,89.01173587691741,47.24614570805731,24.11337413750445
19,89.01173587691741,48.89645841635607,21.058879949839046
