generation,best_score,fitness_mean,fitness_std
0,4.753636177197279e+28,1.3522122741361964e+27,7.699482726012808e+27
1,3.842084986186321e+32,7.691258222255986e+30,5.378818012075965e+31
2,3.842084986186321e+32,1.1548121645785317e+31,6.553722036481657e+31
3,3.842084986186321e+32,1.5404442946547345e+31,7.528181730339542e+31
4,5.798177629127866e+36,1.1597897070825084e+35,8.117426689761239e+35
5,5.798177629127866e+36,1.7396074967339155e+35,9.890923000636932e+35
6,5.798177629127866e+36,2.6661735156382093e+35,1.1806245970369317e+36
7,5.798177629127866e+36,3.2460268397638997e+35,1.3022215588400595e+36
8,5.798177629127866e+36,3.825844709769609e+35,1.411015822557982e+36
9,5.798177629127866e+36,4.4056625891442395e+35,1.5097769830796324e+36
10,2.264244828908447e+37,8.934272984708618e+35,3.453827170688536e+36
11,2.264244828908447e+37,1.1198567341979807e+36,4.074292577270791e+36
12,2.264244828908447e+37,1.4067794993269975e+36,4.622506948525885e+36
13,2.264244828908447e+37,1.8758022841702813e+36,5.281805260831532e+36
14,2.264244828908447e+37,2.1022267807405888e+36,5.667763953290732e+36
15,2.264244828908447e+37,2.328655596962938e+36,6.020554245726019e+36
16,2.264244828908447e+37,2.5550800572649667e+36,6.345713581718128e+36
17,2.264244828908447e+37,2.781504555212917e+36,6.647296594466316e+36
18,2.264244828908447e+37,3.007929045972411e+36,6.928382719300935e+36
19,2.264244828908447e+37,3.234363234578956e+36,7.19137145247671e+36
