generation,best_score,fitness_mean,fitness_std
0,57.46940313159368,-0.47325570219656116,12.771790004033766
1,78.25844361140302,9.685664317594753,23.163689878926025
2,78.39142521769125,28.727144958135554,29.3823719284276
3,78.39142521769125,42.319488824244765,24.53162273476342
4,78.39142521769125,43.05263641638958,28.244248466627337
5,78.39142521769125,47.3311876484178,27.423330311466263
6,78.39142521769125,46.50645381336531,24.595296495099976
7,87.51168904314152,46.935690500025125,29.38424968219852
8,87.51168904314152,43.96255516612739,27.88216034215553
9,87.51168904314152,49.84914921971274,23.129430477794987
10,87.51168904314152,44.697716651151524,24.07378795782394
11,87.51168904314152,44.33487431908662,24.676373976731607
