generation,best_score,fitness_mean,fitness_std
0,92.37964417492167,8.038733394195232,26.304726252415488
1,92.37964417492167,44.43681127915146,31.771407594698204
2,92.37964417492167,52.227457597496624,29.997116098257347
3,92.37964417492167,56.768723987049945,26.96230201403306
4,92.52482618476617,69.8983551930597,25.549222859817196
5,92.52482618476617,79.12037499956509,19.531872045001865
6,92.52482618476617,72.17787759848535,24.92272534238124
7,92.56956207860756,72.16183102693364,25.766186008967065
8,92.56956207860756,71.29846446546222,23.984062875711135
9,92.56956207860756,72.46040343184947,25.438008319054042
10,92.56956207860756,74.23920938126393,24.12885619562675
11,92.56956207860756,73.93135232832644,24.053679992017425
12,92.56956207860756,63.27168680564667,35.07565697107752
13,92.56956207860756,77.78300719859763,23.378975475164655
14,92.56956207860756,72.7161540785479,26.275119311604897
15,92.56956207860756,78.27510676235381,20.968306108591616
16,92.56956207860756,79.84614092721054,19.44894089943015
17,92.56956207860756,86.24444645584195,15.446136161032964
18,92.56956207860756,79.4246591835197,20.971063201198096
19,92.56956207860756,78.6368701207815,20.98675192580031
