trial_id,mean_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.type.deap_crossover_kwargs,config.type.deap_crossover_method,config.type.deap_mutation_operator,config.type.doomsday_population_ratio,config.type.doomsday_replace_with_random_prob,config.type.enemy_number,config.type.mating_num,config.type.patience,config.type.population_size,config.type.survivor_pool,config.type.survivor_selection_method,config.type.tournament_method,config.type.type,config.type.deap_mutation_kwargs.indpb,config.type.deap_mutation_kwargs.mu,config.type.deap_mutation_kwargs.sigma,config.type.tournament_kwargs.k,config.type.tournament_kwargs.tournsize
9ae6babc,16.386898554781602,560.72110414505,True,,,1,7d458e3c12254ef8998c88d3dcdbbdcf,2021-10-17_17-28-47,1634484527,560.72110414505,51987,EPNLHOOW0187,192.168.100.70,560.72110414505,0,1,"11_deap_crossover_method=<function cxMultiParentUniform at 0x125876550>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.77035,doomsday_replace_with_random_prob=0.90119,enemy_number=(1, 4, 7),mating_num=10,patience=1,population_size=70,survivor_pool=offspring,survivor_selection_method=<function selBest at 0x1257e4040>,k=5,tournsize=10,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_multi_parents",,<function cxMultiParentUniform at 0x125876550>,<function mutGaussian at 0x12586c9d0>,0.7703536439445637,0.9011932241108415,"(1, 4, 7)",10,1,70,offspring,<function selBest at 0x1257e4040>,<function selTournament at 0x1257e40d0>,tournament_multi_parents,0.6,0,1,5,10
9ce59b62,5.915541800378961,420.2337951660156,True,,,1,f476c27fef794bc2b53971fa85a17da4,2021-10-17_17-27-10,1634484430,420.2337951660156,52010,EPNLHOOW0187,192.168.100.70,420.2337951660156,0,1,"12_deap_crossover_kwargs=0.74882,deap_crossover_method=<function cx4ParentsCustomUniform at 0x1258764c0>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.38253,doomsday_replace_with_random_prob=0.067464,enemy_number=(1, 4, 7),mating_num=1,patience=2,population_size=30,survivor_pool=all,survivor_selection_method=<function selBest at 0x1257e4040>,k=4,tournsize=5,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_4_parents",0.7488244522894899,<function cx4ParentsCustomUniform at 0x1258764c0>,<function mutGaussian at 0x12586c9d0>,0.38252653445398954,0.0674642245773619,"(1, 4, 7)",1,2,30,all,<function selBest at 0x1257e4040>,<function selTournament at 0x1257e40d0>,tournament_4_parents,0.2,0,1,4,5
b685f6b6,18.4746605795917,552.9389820098877,True,,,1,6d0bb9d7259242f7894bdd57ef697108,2021-10-17_17-29-48,1634484588,552.9389820098877,52022,EPNLHOOW0187,192.168.100.70,552.9389820098877,0,1,"13_deap_crossover_method=<function cxMultiParentUniform at 0x125876550>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.62434,doomsday_replace_with_random_prob=0.62604,enemy_number=(1, 2),mating_num=6,patience=1,population_size=30,survivor_pool=all,survivor_selection_method=<function selProportional at 0x1257e4160>,k=4,tournsize=8,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_multi_parents",,<function cxMultiParentUniform at 0x125876550>,<function mutGaussian at 0x12586c9d0>,0.624337498172901,0.6260398655860274,"(1, 2)",6,1,30,all,<function selProportional at 0x1257e4160>,<function selTournament at 0x1257e40d0>,tournament_multi_parents,0.6,0,1,4,8
c5a241a4,7.977865826851973,611.5065729618073,True,,,1,d40fd41a2ead4b07b1896339ba92cb57,2021-10-17_17-32-51,1634484771,611.5065729618073,52041,EPNLHOOW0187,192.168.100.70,611.5065729618073,0,1,"14_deap_crossover_kwargs=0.01479,deap_crossover_method=<function cx4ParentsCustomUniform at 0x1258764c0>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.74287,doomsday_replace_with_random_prob=0.71217,enemy_number=(2, 4, 8),mating_num=4,patience=2,population_size=70,survivor_pool=all,survivor_selection_method=<function selBest at 0x1257e4040>,k=4,tournsize=8,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_4_parents",0.014790376248037695,<function cx4ParentsCustomUniform at 0x1258764c0>,<function mutGaussian at 0x12586c9d0>,0.7428730051919449,0.7121685104031382,"(2, 4, 8)",4,2,70,all,<function selBest at 0x1257e4040>,<function selTournament at 0x1257e40d0>,tournament_4_parents,0.2,0,1,4,8
0fea4a4a,16.955506934533208,493.26326608657837,True,,,1,a2cc3e03fd82494bb92de706ce5f4447,2021-10-17_17-30-56,1634484656,493.26326608657837,52047,EPNLHOOW0187,192.168.100.70,493.26326608657837,0,1,"15_deap_crossover_method=<function cxMultiParentUniform at 0x125876550>,indpb=0.8,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.062458,doomsday_replace_with_random_prob=0.18459,enemy_number=(1, 4, 7),mating_num=3,patience=2,population_size=30,survivor_pool=offspring,survivor_selection_method=<function selBest at 0x1257e4040>,k=3,tournsize=8,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_multi_parents",,<function cxMultiParentUniform at 0x125876550>,<function mutGaussian at 0x12586c9d0>,0.06245773657233711,0.1845949818385192,"(1, 4, 7)",3,2,30,offspring,<function selBest at 0x1257e4040>,<function selTournament at 0x1257e40d0>,tournament_multi_parents,0.8,0,1,3,8
11d8cb4c,-2.0987352305908544,511.47291374206543,True,,,1,8698353f391f4c80ab7303c99cbc7886,2021-10-17_17-33-40,1634484820,511.47291374206543,52076,EPNLHOOW0187,192.168.100.70,511.47291374206543,0,1,"16_deap_crossover_kwargs=0.57049,deap_crossover_method=<function cx4ParentsCustomUniform at 0x1258764c0>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.2783,doomsday_replace_with_random_prob=0.37888,enemy_number=(2, 4, 8),mating_num=4,patience=2,population_size=30,survivor_pool=offspring,survivor_selection_method=<function selBest at 0x1257e4040>,k=4,tournsize=8,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_4_parents",0.5704938274191954,<function cx4ParentsCustomUniform at 0x1258764c0>,<function mutGaussian at 0x12586c9d0>,0.27829994016936477,0.37887633009255695,"(2, 4, 8)",4,2,30,offspring,<function selBest at 0x1257e4040>,<function selTournament at 0x1257e40d0>,tournament_4_parents,0.2,0,1,4,8
68802f76,5.8848720835546,725.5082201957703,True,,,1,898559ff09c24a3b9687ffab13e1b23b,2021-10-17_17-37-33,1634485053,725.5082201957703,52091,EPNLHOOW0187,192.168.100.70,725.5082201957703,0,1,"17_deap_crossover_kwargs=0.403,deap_crossover_method=<function cx4ParentsCustomUniform at 0x1258764c0>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.33356,doomsday_replace_with_random_prob=0.50072,enemy_number=(5, 8),mating_num=5,patience=1,population_size=70,survivor_pool=all,survivor_selection_method=<function selProportional at 0x1257e4160>,k=4,tournsize=5,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_4_parents",0.40299627033735885,<function cx4ParentsCustomUniform at 0x1258764c0>,<function mutGaussian at 0x12586c9d0>,0.3335641955181615,0.5007248105310257,"(5, 8)",5,1,70,all,<function selProportional at 0x1257e4160>,<function selTournament at 0x1257e40d0>,tournament_4_parents,0.2,0,1,4,5
74037c36,-2.660192689310647,698.8125681877136,True,,,1,e9923db8822549d09538317c1d5c9d73,2021-10-17_17-38-51,1634485131,698.8125681877136,52143,EPNLHOOW0187,192.168.100.70,698.8125681877136,0,1,"18_deap_crossover_method=<function cxMultiParentUniform at 0x125876550>,indpb=0.8,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.80468,doomsday_replace_with_random_prob=0.55357,enemy_number=(1, 2),mating_num=5,patience=1,population_size=70,survivor_pool=all,survivor_selection_method=<function selProportional at 0x1257e4160>,k=3,tournsize=8,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_multi_parents",,<function cxMultiParentUniform at 0x125876550>,<function mutGaussian at 0x12586c9d0>,0.8046769957681761,0.5535664656899689,"(1, 2)",5,1,70,all,<function selProportional at 0x1257e4160>,<function selTournament at 0x1257e40d0>,tournament_multi_parents,0.8,0,1,3,8
b243d27a,1.1463092567282018,563.9322111606598,True,,,1,2a5374a021964159ba466bc4bfac9073,2021-10-17_17-36-51,1634485011,563.9322111606598,52188,EPNLHOOW0187,192.168.100.70,563.9322111606598,0,1,"19_deap_crossover_kwargs=0.78166,deap_crossover_method=<function cx4ParentsCustomUniform at 0x1258764c0>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.81283,doomsday_replace_with_random_prob=0.54984,enemy_number=(2, 4, 8),mating_num=3,patience=2,population_size=70,survivor_pool=offspring,survivor_selection_method=<function selProportional at 0x1257e4160>,k=4,tournsize=8,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_4_parents",0.7816601605353737,<function cx4ParentsCustomUniform at 0x1258764c0>,<function mutGaussian at 0x12586c9d0>,0.8128346248225359,0.5498405012976709,"(2, 4, 8)",3,2,70,offspring,<function selProportional at 0x1257e4160>,<function selTournament at 0x1257e40d0>,tournament_4_parents,0.3,0,1,4,8
bb5ab400,-1.4797147393992518,459.9964089393616,True,,,1,c6cf0f8736234c78a2b09d6f809a18c5,2021-10-17_17-36-29,1634484989,459.9964089393616,52534,EPNLHOOW0187,192.168.100.70,459.9964089393616,0,1,"20_deap_crossover_method=<function cxMultiParentUniform at 0x125876550>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.34758,doomsday_replace_with_random_prob=0.24127,enemy_number=(1, 4, 7),mating_num=8,patience=1,population_size=30,survivor_pool=offspring,survivor_selection_method=<function selProportional at 0x1257e4160>,k=4,tournsize=8,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_multi_parents",,<function cxMultiParentUniform at 0x125876550>,<function mutGaussian at 0x12586c9d0>,0.34758464803671285,0.24126941780713718,"(1, 4, 7)",8,1,30,offspring,<function selProportional at 0x1257e4160>,<function selTournament at 0x1257e40d0>,tournament_multi_parents,0.2,0,1,4,8
