trial_id,mean_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.type.deap_crossover_kwargs,config.type.deap_crossover_method,config.type.deap_mutation_operator,config.type.doomsday_population_ratio,config.type.doomsday_replace_with_random_prob,config.type.enemy_number,config.type.mating_num,config.type.patience,config.type.population_size,config.type.tournament_method,config.type.type,config.type.deap_mutation_kwargs.indpb,config.type.deap_mutation_kwargs.mu,config.type.deap_mutation_kwargs.sigma,config.type.tournament_kwargs.k,config.type.tournament_kwargs.tournsize
73bdc76a,14.578644971419417,24226.032532930374,True,,,1.0,4afd5b22edec4bb282a089b874b8acdb,2021-10-16_08-35-51,1634366151.0,24226.032532930374,95676.0,EPNLHOOW0187,192.168.100.70,24226.032532930374,0.0,1.0,"11_deap_crossover_kwargs=0.11197,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.91926,doomsday_replace_with_random_prob=0.057647,enemy_number=(1, 2, 3),mating_num=2,patience=6,population_size=70,k=2,tournament_method=<function selProportional at 0x129dbfee0>,type=proportional",0.11196852174069849,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.9192618166427602,0.057646661046413805,"(1, 2, 3)",2.0,6.0,70.0,<function selProportional at 0x129dbfee0>,proportional,0.2,0.0,1.0,2.0,
e458efae,8.60780205172772,643.7861909866333,True,,,1.0,eea822705ae8421c9cd969874407e2c2,2021-10-16_02-03-43,1634342623.0,643.7861909866333,95996.0,EPNLHOOW0187,192.168.100.70,643.7861909866333,0.0,1.0,"12_deap_crossover_kwargs=0.3561,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.27345,doomsday_replace_with_random_prob=0.27382,enemy_number=(1, 4, 7),mating_num=6,patience=3,population_size=30,k=2,tournsize=4,tournament_method=<function selTournament at 0x129dbfe50>,type=tournament",0.35610369430393274,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.2734499788864695,0.27382001172398684,"(1, 4, 7)",6.0,3.0,30.0,<function selTournament at 0x129dbfe50>,tournament,0.3,0.0,1.0,2.0,4.0
05128f48,19.270400554093847,23771.420150995255,True,,,1.0,47c37091b5e04d0badf3949b4df8dda4,2021-10-16_08-34-41,1634366081.0,23771.420150995255,96048.0,EPNLHOOW0187,192.168.100.70,23771.420150995255,0.0,1.0,"13_deap_crossover_kwargs=0.16126,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.041679,doomsday_replace_with_random_prob=0.17301,enemy_number=(1, 4, 7),mating_num=7,patience=2,population_size=70,k=2,tournsize=4,tournament_method=<function selTournament at 0x129dbfe50>,type=tournament",0.16125717728616318,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.04167942444099482,0.17300681947674634,"(1, 4, 7)",7.0,2.0,70.0,<function selTournament at 0x129dbfe50>,tournament,0.3,0.0,1.0,2.0,4.0
c9ec3508,5.716823932935208,2506.967477083206,True,,,1.0,b2cb3b8b49674c2c8e304a16cdee9a29,2021-10-16_02-43-44,1634345024.0,2506.967477083206,96137.0,EPNLHOOW0187,192.168.100.70,2506.967477083206,0.0,1.0,"14_deap_crossover_kwargs=0.10265,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.94636,doomsday_replace_with_random_prob=0.67654,enemy_number=(1, 4, 7),mating_num=5,patience=2,population_size=30,k=2,tournsize=10,tournament_method=<function selTournament at 0x129dbfe50>,type=tournament",0.10264558821022995,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.9463591060721741,0.6765424987584753,"(1, 4, 7)",5.0,2.0,30.0,<function selTournament at 0x129dbfe50>,tournament,0.3,0.0,1.0,2.0,10.0
458e9980,8.632224326144664,24088.586931943893,True,,,1.0,b9749dc11b854de4a78fac83c2cb0755,2021-10-16_08-45-16,1634366716.0,24088.586931943893,96274.0,EPNLHOOW0187,192.168.100.70,24088.586931943893,0.0,1.0,"15_deap_crossover_kwargs=0.65928,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.38758,doomsday_replace_with_random_prob=0.35119,enemy_number=(1, 4, 7),mating_num=7,patience=3,population_size=70,k=2,tournsize=4,tournament_method=<function selTournament at 0x129dbfe50>,type=tournament",0.6592777934409607,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.3875834712421543,0.3511909684661755,"(1, 4, 7)",7.0,3.0,70.0,<function selTournament at 0x129dbfe50>,tournament,0.6,0.0,1.0,2.0,4.0
86d96adc,7.689798617866595,23154.513381004333,True,,,1.0,998da88ae0ce4e94b56af59f18be1b78,2021-10-16_08-30-31,1634365831.0,23154.513381004333,96288.0,EPNLHOOW0187,192.168.100.70,23154.513381004333,0.0,1.0,"16_deap_crossover_kwargs=0.45543,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.56757,doomsday_replace_with_random_prob=0.82123,enemy_number=(1, 4, 7),mating_num=6,patience=4,population_size=30,k=2,tournsize=10,tournament_method=<function selTournament at 0x129dbfe50>,type=tournament",0.4554264255607421,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.5675681820785773,0.8212342377167035,"(1, 4, 7)",6.0,4.0,30.0,<function selTournament at 0x129dbfe50>,tournament,0.3,0.0,1.0,2.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79ede75c,8.29368329571047,21331.787393808365,True,,,1.0,3ef1078e64ee4cdca9b5f2f120d85a4b,2021-10-16_08-40-49,1634366449.0,21331.787393808365,96790.0,EPNLHOOW0187,192.168.100.70,21331.787393808365,0.0,1.0,"18_deap_crossover_kwargs=0.45977,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.8,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.2974,doomsday_replace_with_random_prob=0.28936,enemy_number=(1, 4, 7),mating_num=2,patience=2,population_size=30,k=2,tournsize=10,tournament_method=<function selTournament at 0x129dbfe50>,type=tournament",0.45976902023535826,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.2973961746032502,0.2893609352713461,"(1, 4, 7)",2.0,2.0,30.0,<function selTournament at 0x129dbfe50>,tournament,0.8,0.0,1.0,2.0,10.0
28325c9a,12.235842754299462,843.3298716545105,True,,,1.0,6df964d7a1df40e7ada7bcfbab25d342,2021-10-16_08-45-28,1634366728.0,843.3298716545105,97646.0,EPNLHOOW0187,192.168.100.70,843.3298716545105,0.0,1.0,"19_deap_crossover_kwargs=0.35555,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.11145,doomsday_replace_with_random_prob=0.58624,enemy_number=(1, 4, 7),mating_num=3,patience=5,population_size=30,k=2,tournsize=4,tournament_method=<function selTournament at 0x129dbfe50>,type=tournament",0.3555507186442276,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.11145050195809714,0.5862352067735217,"(1, 4, 7)",3.0,5.0,30.0,<function selTournament at 0x129dbfe50>,tournament,0.6,0.0,1.0,2.0,4.0
910588ac,11.58054385624953,2018.6551988124847,True,,,1.0,a86eebafb9b349abb5913189e2e5e543,2021-10-16_09-08-26,1634368106.0,2018.6551988124847,98121.0,EPNLHOOW0187,192.168.100.70,2018.6551988124847,0.0,1.0,"20_deap_crossover_kwargs=0.13077,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.76372,doomsday_replace_with_random_prob=0.13978,enemy_number=(2, 4, 8),mating_num=5,patience=3,population_size=30,k=2,tournsize=4,tournament_method=<function selTournament at 0x129dbfe50>,type=tournament",0.13077199877254286,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.7637246565530467,0.13977865826449976,"(2, 4, 8)",5.0,3.0,30.0,<function selTournament at 0x129dbfe50>,tournament,0.3,0.0,1.0,2.0,4.0
