generation,best_score,fitness_mean,fitness_std
0,87.75297592783951,5.144240418437621,22.564870074557206
1,91.77237888630937,42.879355995457274,31.053906482148673
2,92.04704041507837,63.52586297733922,27.731418647186675
3,92.37237888630936,72.99429134878469,25.97149899515147
4,92.37237888630936,78.36490548480097,21.026593053223554
5,92.44704041507838,81.03669730816264,19.86849739334474
6,92.44704041507838,80.7797472537007,19.23465578351458
7,92.44704041507838,78.67294132156147,20.679717162608593
8,92.44704041507838,75.05586987164014,25.148675194107124
9,92.44704041507838,82.71296608444503,18.659370042920383
10,92.58272016318507,81.44954175328685,20.150145017739266
11,92.58272016318507,79.46048888598395,19.893249425207536
12,92.77065437104557,78.69831954695637,21.147269793217827
13,92.77065437104557,77.65823528488573,23.21992080776969
14,92.77065437104557,82.04094913037027,18.38660090141326
15,92.77065437104557,76.8262841054565,23.610918917820726
16,92.77065437104557,72.49267840695269,27.79369424701992
17,92.77065437104557,71.66814600136675,35.3193727706716
18,92.77065437104557,79.22075236513724,22.625556604670805
19,92.77065437104557,78.5110946134297,21.508988890795848
