generation,best_score,fitness_mean,fitness_std
0,92.48801221164345,17.065020260612602,35.42982596993693
1,92.51240366476762,48.80065693010731,35.59455555819784
2,92.51240366476762,58.96185213534702,31.74283250348418
3,92.51240366476762,61.36873582241626,32.786376963974526
4,92.51240366476762,69.18732795749801,28.43008282861927
5,92.51240366476762,80.45987432152482,18.477937181854
6,92.51240366476762,69.56250525480245,37.53471725762067
7,92.57611947915372,74.72011149783232,25.79748118892849
8,92.57611947915372,76.42965685442738,24.415955449409044
9,92.57611947915372,77.24750453486662,25.421141110092655
10,92.57611947915372,76.968542309268,23.107104717760382
11,92.57611947915372,77.50391314587847,23.57878916398419
12,92.57611947915372,72.4376265981446,35.622724706704446
13,92.57611947915372,80.35310859825874,22.52457397881986
14,92.57611947915372,77.48665025120567,23.734863719324395
15,92.57611947915372,76.52444743884404,24.641698627113566
16,92.57611947915372,79.21507879807646,21.47788367179813
17,92.57611947915372,66.88398089473114,39.48252905361333
18,92.57611947915372,81.66539744122936,20.246024467799295
19,93.12700044143625,74.94068722105763,25.67073072321479
