generation,best_score,fitness_mean,fitness_std
0,6.5446188214230136e+28,4.2229294482166044e+27,1.54021713996569e+28
1,5.00364556340541e+32,1.481309045172886e+31,8.419321022766763e+31
2,1.122203660387809e+39,3.740838353685911e+37,1.7685228626857898e+38
3,1.122203660387809e+39,4.863042015582677e+37,2.0713428278923285e+38
4,1.122203660387809e+39,5.985246191036045e+37,2.3298202125548564e+38
5,1.122203660387809e+39,7.1074503515047645e+37,2.5574355305460327e+38
6,1.122203660387809e+39,8.229654013096656e+37,2.7618298284878704e+38
7,2.0154933551274276e+39,1.4519107927688914e+38,4.289938928013213e+38
8,2.0154933551274276e+39,1.6557780857902742e+38,4.67254173193628e+38
9,2.0154933551274276e+39,1.85732742129661e+38,5.0186447992193956e+38
10,2.0154933551274276e+39,2.060996002511707e+38,5.333987133927492e+38
11,2.0154933551274276e+39,2.262545338231671e+38,5.625142249248655e+38
12,2.0154933551274276e+39,2.4640948350393723e+38,5.895064617146452e+38
13,2.0154933551274276e+39,2.6656441703311416e+38,6.1465522708378714e+38
14,2.0154933551274276e+39,2.867193505895403e+38,6.381784901207234e+38
15,2.0154933551274276e+39,3.068742883941477e+38,6.6025001099846216e+38
16,2.0154933551274276e+39,3.270292219277994e+38,6.810109606693642e+38
17,2.0154933551274276e+39,3.4718417020856336e+38,7.005778523110324e+38
18,2.0154933551274276e+39,3.682066313929016e+38,7.186305143699602e+38
19,2.0154933551274276e+39,3.883615649216076e+38,7.36072937365999e+38
