generation,best_score,fitness_mean,fitness_std
0,83.37317265247944,-0.24593889505087307,13.457903780481645
1,86.33310919110122,17.983243613749632,19.670814115416192
2,86.33310919110122,33.47183941286785,22.184293311174063
3,86.76441787381557,42.21117346431399,23.766045574812978
4,86.76441787381557,47.506626441715156,24.175433151404324
5,86.76441787381557,49.59369503712073,24.339171264692972
6,87.45179856794203,54.086358419852765,24.92893296357196
7,87.45179856794203,56.76060283452681,25.14208424029493
8,87.45179856794203,58.070429169036636,25.035070872124333
9,87.45179856794203,47.646933010479195,40.18565767385315
10,87.45179856794203,58.32308572568563,28.11841438256787
11,87.45179856794203,60.67594612963316,25.89540082492535
12,87.45179856794203,48.99233017479718,40.618340935774846
13,88.43471690848932,61.88855866759181,28.49418050630949
14,88.43471690848932,66.14897378990857,25.29142238846788
15,88.43471690848932,68.12394039385178,24.047989220919472
16,88.43471690848932,51.20649985080021,42.472260547787464
17,88.43471690848932,63.34815874032647,29.790819973806187
18,88.43471690848932,65.58877606968755,27.657240012236525
19,88.43471690848932,51.66547795600283,42.63473180630606
