generation,best_score,fitness_mean,fitness_std
0,12.176351318955358,-4.165167571744909,4.53843522323412
1,44.82959431394451,-5.044693238732497,9.390889076021152
2,44.7768913553502,-3.805009021318438,9.375176925426697
3,44.88807955517788,-4.148115078952066,9.211369338123962
4,27.37706171001863,-4.91547752220442,6.0581380385509
5,44.794187904947066,-3.3217988406354015,9.970786038884228
6,38.081226716503984,-4.708813161023642,7.95005297783182
7,41.12341386061303,-4.767813014085567,8.530036757895198
