generation,best_score,fitness_mean,fitness_std
0,41.53055967004339,-3.9242700115928932,6.873518869240363
1,10.39615090980937,-4.177809194018457,3.4682496109170993
2,38.22134933043974,-1.2844783010821796,9.677451565840796
3,14.426871036315937,-4.631846431779636,3.743601092569655
4,16.38153638907358,-3.6938669271616074,4.931468218530842
5,23.853656247482895,-4.010333989174017,4.633428296705601
6,38.05943872811834,-2.8034139412090275,7.597998687549608
7,30.832120485851465,-2.3425854411088096,7.735569747389432
