generation,best_score,fitness_mean,fitness_std
0,1.387624168271913e+21,1.3876241824566362e+19,1.3806686147135137e+20
1,1.387624168271913e+21,7.0994116251032265e+19,2.8335413088153928e+20
2,9.839487888061838e+36,2.9518463664185523e+35,1.6784908957960076e+36
3,9.839487888061838e+36,3.9357951552247364e+35,1.9281379724837428e+36
4,9.839487888061838e+36,4.9197439440336005e+35,2.1444666680126383e+36
5,9.839487888061838e+36,6.787078806396116e+35,2.4756126275465435e+36
6,9.839487888061838e+36,7.7710275952027e+35,2.6369620378475967e+36
7,9.839487888061838e+36,8.754976384010853e+35,2.7855190884376733e+36
8,9.839487888061838e+36,9.738925172817039e+35,2.9232347306831837e+36
9,9.839487888061838e+36,1.0722873961623221e+36,3.0515771143646794e+36
10,9.839487888061838e+36,1.1706822750429405e+36,3.1716843119667937e+36
11,9.839487888061838e+36,1.269077153923559e+36,3.284459888666388e+36
12,9.839487888061838e+36,1.3674720328041775e+36,3.390635492258157e+36
13,9.839487888061838e+36,1.4658669116847958e+36,3.490813403503993e+36
14,9.839487888061838e+36,1.564261790809485e+36,3.5854963798143923e+36
15,9.839487888061838e+36,1.6626566696901037e+36,3.675109149069832e+36
16,9.839487888061838e+36,1.761051548570722e+36,3.760014244801686e+36
17,9.839487888061838e+36,1.8594464274513538e+36,3.840523907003637e+36
18,9.839487888061838e+36,1.9578413063321742e+36,3.916909181362362e+36
19,9.839487888061838e+36,2.0562361852128981e+36,3.9894069841814216e+36
