generation,best_score,fitness_mean,fitness_std
0,91.85873645484158,4.592233275966697,26.02869334981621
1,91.85873645484158,41.34623058863845,36.54032436149538
2,91.85873645484158,61.574901694229055,29.02119920243899
3,92.57237888630937,68.22605311472644,26.47558143486694
4,92.57237888630937,67.81274539432893,27.427506999908818
5,92.57237888630937,66.84398989533763,26.92142309710564
6,92.57237888630937,69.63498430823378,25.16450889321135
7,93.32772932632852,79.99768394988138,16.98285904495882
8,93.32772932632852,77.74122779763695,18.435038306412284
9,93.32772932632852,74.83958587170778,23.145974964243944
10,93.32772932632852,76.80331094477802,21.68055712379815
11,93.32772932632852,78.76028423189769,20.011250461775457
12,93.32772932632852,71.58449971795665,21.69137279145265
13,93.32772932632852,74.25035099295788,20.94134823106334
14,93.32772932632852,70.19911634465642,22.609615319819724
15,93.32772932632852,72.7652299924656,17.864575792954067
16,93.32772932632852,30.052328498737634,44.280675456790874
17,93.32772932632852,60.95590590553308,31.408184751525702
18,93.32772932632852,63.70486701151407,29.691170978142445
19,93.32772932632852,71.76019272449565,20.72182023596694
